Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Martin,NOR,MID,0,0,0,0,0,0,0.0,0,£5,0.0%,0,0,0,0,2021
Nlundulu,SOU,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Obafemi,SOU,FWD,0,0,0,0,0,0,0.0,0,£4.5,2.1%,0,0,0,0,2021
Hart,TOT,GKP,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Dele-Bashiru,WAT,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Quina,WAT,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Navarro,WAT,DEF,0,0,0,0,0,0,0.0,0,£4,0.2%,0,0,0,0,2021
Wilmot,WAT,DEF,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Hungbo,WAT,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Baah,WAT,MID,0,0,0,0,0,0,0.0,0,£4.3,0.1%,0,0,0,0,2021
Randolph,WHU,GKP,0,0,0,0,0,0,0.0,0,£4.3,0.1%,0,0,0,0,2021
Reid,WHU,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.8%,0,0,0,0,2021
Patrício,WOL,GKP,0,0,0,0,0,0,0.0,0,£5,0.0%,0,0,0,0,2021
Otasowie,WOL,MID,0,0,0,0,0,0,0.0,0,£4.5,0.1%,0,0,0,0,2021
Söndergaard,WOL,GKP,0,0,0,0,0,0,0.0,0,£3.9,0.9%,0,0,0,0,2021
Mosquera,WOL,DEF,0,0,0,0,0,0,0.0,0,£4.4,0.0%,0,0,0,0,2021
Pollock,WAT,DEF,0,0,0,0,0,0,0.0,0,£4,0.3%,0,0,0,0,2021
Mebude,WAT,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.1%,0,0,0,0,2021
Scherpen,BHA,GKP,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Gollini,TOT,GKP,0,0,0,0,0,0,0.0,0,£4.2,0.2%,0,0,0,0,2021
Ramsey,AVL,MID,0,0,0,0,0,0,0.0,0,£4.4,0.2%,0,0,0,0,2021
Cutrone,WOL,FWD,0,0,0,0,0,0,0.0,0,£5,0.0%,0,0,0,0,2021
Hein,ARS,GKP,0,0,0,0,0,0,0.0,0,£4,0.3%,0,0,0,0,2021
Richardson,BUR,FWD,0,0,0,0,0,0,0.0,0,£4.4,4.4%,0,0,0,0,2021
Thomas,BUR,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.3%,0,0,0,0,2021
Zeqiri,BHA,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.2%,0,0,0,0,2021
Karbownik,BHA,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Hannam,CRY,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.1%,0,0,0,0,2021
Street,CRY,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.8%,0,0,0,0,2021
Banks,CRY,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Broadhead,EVE,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Marques,WOL,DEF,0,0,0,0,0,0,0.0,0,£4,0.2%,0,0,0,0,2021
Woodburn,LIV,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Baptiste,WHU,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.3%,0,0,0,0,2021
Roberts,BHA,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.2%,0,0,0,0,2021
Matthews,CRY,GKP,0,0,0,0,0,0,0.0,0,£3.9,0.4%,0,0,0,0,2021
Drameh,LEE,DEF,0,0,0,0,0,14,0.0,126,£3.9,0.1%,6,0,0,0,2021
Dodgson,BUR,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.1%,0,0,0,0,2021
Markanday,TOT,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Omole,TOT,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.1%,0,0,0,0,2021
White,NEW,MID,0,0,0,0,0,0,0.0,0,£4.4,0.1%,0,0,0,0,2021
Mbete,MCI,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.1%,0,0,0,0,2021
Wilson-Esbrand,MCI,DEF,0,0,0,0,0,0,0.0,0,£3.9,0.2%,0,0,0,0,2021
Lavia,MCI,MID,0,0,0,0,0,0,0.0,0,£4.4,0.0%,0,0,0,0,2021
Bettinelli,CHE,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Anderson,NEW,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Bogarde,AVL,DEF,0,0,0,0,0,0,0.0,0,£4,0.1%,0,0,0,0,2021
Moulden,WOL,GKP,0,0,0,0,0,0,0.0,0,£4,0.1%,0,0,0,0,2021
Whitaker,EVE,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Maghoma,BRE,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Slicker,MCI,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Tyrer,EVE,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Cox,BRE,GKP,0,0,0,0,0,0,0.0,0,£4,0.1%,0,0,0,0,2021
Storer,WOL,GKP,0,0,0,0,0,0,0.0,0,£4,0.2%,0,0,0,0,2021
Welch,EVE,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Daley-Campbell,LEI,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Angelini,WAT,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Tomkinson,NOR,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Alese,WHU,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Nelson,LEI,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Dickson-Peters,NOR,FWD,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Marschall,AVL,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Oko-Flex,WHU,MID,0,0,0,0,0,0,0.0,0,£4.4,0.0%,0,0,0,0,2021
Turns,BHA,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Leonard,BHA,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Pitaluga,LIV,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Moore,LEE,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Gray,LEE,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Austin,TOT,GKP,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Quansah,LIV,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Jordão,WOL,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Peart-Harris,BRE,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Vale,CHE,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Patterson,EVE,DEF,0,0,0,0,0,0,0.0,0,£4.1,0.0%,0,0,0,0,2021
Chauke,SOU,MID,0,0,0,0,0,0,0.0,0,£4.5,0.0%,0,0,0,0,2021
Ekwah,WHU,DEF,0,0,0,0,0,0,0.0,0,£4,0.0%,0,0,0,0,2021
Gibbs,NOR,MID,0,0,0,0,0,0,0.0,0,£4.5,0.1%,0,0,0,0,2021
