Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Janssen,TOT,FWD,55,2,3,3,3,134,2.0,845,£7.5,0.8%,8,0,0,0,2016
Obiang,WHU,MID,55,1,2,4,6,331,2.5,1763,£4.3,0.3%,32,0,0,0,2016
Feghouli,WHU,MID,55,3,3,1,4,220,2.6,1042,£5,0.7%,23,0,0,0,2016
Ranocchia,HUL,DEF,55,2,2,3,9,299,3.4,1330,£4.5,1.3%,31,0,0,0,2016
Sturridge,LIV,FWD,54,3,5,3,2,180,2.7,775,£9.7,1.9%,7,0,0,0,2016
Nolito,MCI,MID,54,4,3,3,2,170,2.8,777,£8.4,1%,7,0,0,0,2016
Stuani,MID,FWD,54,4,0,4,4,203,2.3,1355,£4.6,2.4%,15,0,0,0,2016
Yacob,WBA,MID,54,0,0,4,0,366,1.6,2418,£4.3,0.2%,36,0,0,0,2016
Valencia,EVE,FWD,54,3,3,2,3,173,2.3,927,£5.2,1.7%,12,0,0,0,2016
Holgate,EVE,DEF,54,0,1,5,5,303,3.0,1372,£4.1,7.1%,18,0,0,0,2016
Defour,BUR,MID,54,1,3,5,6,245,2.6,1068,£5.6,0.2%,13,0,0,0,2016
Amartey,LEI,MID,53,1,1,4,3,262,2.2,1673,£4.3,0.2%,35,0,0,0,2016
Coquelin,ARS,MID,52,0,1,5,1,303,1.8,1779,£4.2,1.9%,27,0,0,0,2016
Iheanacho,MCI,FWD,52,4,3,1,6,180,2.6,537,£6,2.3%,9,0,0,0,2016
Smalling,MUN,DEF,52,1,1,4,1,282,2.9,1217,£5.8,1.1%,16,0,0,0,2016
Carroll,SWA,MID,52,1,2,5,4,243,2.9,1389,£4.1,2.6%,18,0,0,0,2016
McClean,WBA,MID,52,1,3,2,1,236,1.5,1477,£4.8,0.1%,24,0,0,0,2016
Traoré,MID,MID,52,0,1,6,2,264,1.9,1543,£4.8,0.1%,22,0,0,0,2016
Robson-Kanu,WBA,FWD,52,3,2,1,3,144,1.8,701,£5,0.3%,13,0,0,0,2016
Olsson,SWA,DEF,52,2,0,4,3,234,3.5,1252,£4.1,0.8%,18,0,0,0,2016
