Player Name,Team,Position,Pts,GS,A,CS,B,BPS,PPG,MP,Cost,TSB,GC,OG,PS,PM,Season
Sarabia,WOL,MID,27,1,0,3,3,57,2.1,764,£4.9,0.1%,9,0,0,0,2022
Tetê,LEI,MID,27,1,0,0,1,90,2.1,732,£4.9,0.1%,15,0,0,0,2022
Surridge,NFO,FWD,26,1,0,0,3,61,1.3,306,£4.6,0.7%,5,0,0,0,2022
Buonanotte,BHA,MID,26,1,1,1,2,72,2.0,558,£4.5,0.1%,12,0,0,0,2022
Madueke,CHE,MID,26,1,0,0,2,105,2.2,639,£5.4,0.1%,13,0,0,0,2022
Kiwior,ARS,DEF,26,1,0,2,1,111,3.7,425,£4,0.3%,6,0,0,0,2022
Niakhaté,NFO,DEF,25,0,0,2,0,141,1.8,1163,£4.3,0.0%,22,0,0,0,2022
Garner,EVE,MID,25,0,1,2,0,109,1.6,796,£4.5,0.0%,13,0,0,0,2022
Aubameyang,CHE,FWD,25,1,0,1,3,61,1.7,546,£8.4,0.7%,8,0,0,0,2022
Wöber,LEE,DEF,25,0,0,2,2,195,1.6,1264,£4.4,0.0%,23,0,0,0,2022
Mudryk,CHE,MID,25,0,2,0,0,73,1.7,650,£6.4,0.8%,10,0,0,0,2022
Sabitzer,MUN,MID,25,0,1,5,0,98,2.3,622,£4.7,0.1%,7,0,0,0,2022
Felipe,NFO,DEF,25,0,1,1,3,233,1.6,1417,£4.5,0.1%,32,0,0,0,2022
Mendy,CHE,GKP,24,0,0,1,0,132,2.4,855,£4.8,5.8%,14,0,0,0,2022
Weghorst,MUN,FWD,24,0,1,4,0,56,1.4,790,£5.4,0.3%,11,0,0,0,2022
Sambi,CRY,MID,23,0,0,2,0,129,1.5,728,£4.3,0.2%,8,0,0,0,2022
Gilmour,BHA,MID,21,0,1,2,0,105,1.5,502,£4.2,0.4%,8,0,0,0,2022
Broja,CHE,FWD,21,1,1,1,0,56,1.8,285,£5.2,0.3%,5,0,0,0,2022
Sergio Gómez,MCI,DEF,21,0,1,1,1,83,1.8,340,£4.4,0.1%,6,0,0,0,2022
João Gomes,WOL,MID,21,1,0,2,2,84,1.9,649,£4.5,0.0%,18,0,0,0,2022
Traoré,AVL,MID,20,2,0,1,1,57,2.5,226,£4.9,0.1%,1,0,0,0,2022
Gelhardt,LEE,FWD,20,0,2,0,0,44,1.3,201,£5.1,0.2%,3,0,0,0,2022
Evans,LEI,DEF,20,0,0,2,0,191,1.5,1051,£4.4,0.2%,28,0,0,0,2022
Ricardo,LEI,DEF,20,1,1,0,2,106,2.0,451,£4.2,0.1%,11,0,0,0,2022
